,source_id,target_id,strength
0,0.0,8.0,149040.0
1,1.0,9.0,380907.0
2,2.0,10.0,18300.0
3,3.0,11.0,116791.0
4,4.0,12.0,222970.0
5,5.0,13.0,121736.0
6,6.0,14.0,17000.0
7,7.0,15.0,24559.0
8,8.0,16.0,150400.0
9,9.0,17.0,385988.0
10,10.0,18.0,19339.0
11,11.0,19.0,119144.0
12,12.0,20.0,236012.0
13,13.0,21.0,121736.0
14,14.0,22.0,17000.0
15,15.0,23.0,24559.0
16,16.0,24.0,147120.0
17,17.0,25.0,374123.0
18,18.0,26.0,19962.0
19,19.0,27.0,127295.0
20,20.0,28.0,246705.0
21,21.0,29.0,121736.0
22,22.0,30.0,17000.0
23,23.0,31.0,24559.0
24,24.0,32.0,135831.0
25,25.0,33.0,364908.0
26,26.0,34.0,15557.0
27,27.0,35.0,118762.0
28,28.0,36.0,219684.0
29,29.0,37.0,121736.0
30,30.0,38.0,17000.0
31,31.0,39.0,24559.0
32,32.0,40.0,149812.0
33,33.0,41.0,377846.0
34,34.0,42.0,20007.0
35,35.0,43.0,114717.0
36,36.0,44.0,199461.0
37,37.0,45.0,118084.0
38,38.0,46.0,17709.0
39,39.0,47.0,19251.0
40,40.0,48.0,147949.0
41,41.0,49.0,368431.0
42,42.0,50.0,22177.0
43,43.0,51.0,120070.0
44,44.0,52.0,212294.0
45,45.0,53.0,118084.0
46,46.0,54.0,17709.0
47,47.0,55.0,19251.0
48,48.0,56.0,153490.0
49,49.0,57.0,372696.0
50,50.0,58.0,20620.0
51,51.0,59.0,120070.0
52,52.0,60.0,212294.0
53,53.0,61.0,118084.0
54,54.0,62.0,17709.0
55,55.0,63.0,19251.0
56,56.0,64.0,140299.0
57,57.0,65.0,358954.0
58,58.0,66.0,22726.0
59,59.0,67.0,122458.0
60,60.0,68.0,222566.0
61,61.0,69.0,118084.0
62,62.0,70.0,17709.0
63,63.0,71.0,19251.0
64,64.0,72.0,139642.0
65,65.0,73.0,350347.0
66,66.0,74.0,22057.0
67,67.0,75.0,114322.0
68,68.0,76.0,186896.0
69,69.0,77.0,118084.0
70,70.0,78.0,17709.0
71,71.0,79.0,19251.0
72,72.0,80.0,121408.0
73,73.0,81.0,325850.0
74,74.0,82.0,14037.0
75,75.0,83.0,118433.0
76,76.0,84.0,222694.0
77,77.0,85.0,118556.0
78,78.0,86.0,16226.0
79,79.0,87.0,10689.0
80,80.0,88.0,114335.0
81,81.0,89.0,288767.0
82,82.0,90.0,11904.0
83,83.0,91.0,106071.0
84,84.0,92.0,213537.0
85,85.0,93.0,122148.0
86,86.0,94.0,18216.0
87,87.0,95.0,8144.0
88,88.0,96.0,111096.0
89,89.0,97.0,288691.0
90,90.0,98.0,12438.0
91,91.0,99.0,109489.0
92,92.0,100.0,213912.0
93,93.0,101.0,142925.0
94,94.0,102.0,18475.0
95,95.0,103.0,8145.0
